caldt,close,ret
2-Apr-21,"2,841.89",0.0006
1-Apr-21,"2,840.19",0.0101
31-Mar-21,"2,811.70",0.0024
30-Mar-21,"2,805.10",-0.0023
29-Mar-21,"2,811.53",-0.0012
26-Mar-21,"2,814.86",0.0143
25-Mar-21,"2,775.05",0.0028
24-Mar-21,"2,767.26",-0.0074
23-Mar-21,"2,788.01",-0.0077
22-Mar-21,"2,809.65",0.0048
19-Mar-21,"2,796.14",-0.0022
18-Mar-21,"2,802.27",-0.0087
17-Mar-21,"2,826.79",0.0011
16-Mar-21,"2,823.69",0.0007
15-Mar-21,"2,821.85",0.0052
12-Mar-21,"2,807.21",0.0004
11-Mar-21,"2,806.07",0.0111
10-Mar-21,"2,775.34",0.0049
9-Mar-21,"2,761.82",0.0144
8-Mar-21,"2,722.64",-0.0022
5-Mar-21,"2,728.56",0.0082
4-Mar-21,"2,706.48",-0.0128
3-Mar-21,"2,741.68",-0.0096
2-Mar-21,"2,768.25",-0.0056
1-Mar-21,"2,783.70",0.0208
26-Feb-21,"2,726.91",-0.0121
25-Feb-21,"2,760.26",-0.015
24-Feb-21,"2,802.40",0.0047
23-Feb-21,"2,789.21",0.0004
22-Feb-21,"2,788.11",-0.0065
19-Feb-21,"2,806.47",0.0013
18-Feb-21,"2,802.92",-0.0046
17-Feb-21,"2,815.98",-0.0043
16-Feb-21,"2,828.15",-0.0005
15-Feb-21,"2,829.67",0.0038
12-Feb-21,"2,818.85",0.0042
11-Feb-21,"2,807.16",0.0023
10-Feb-21,"2,800.68",0.0008
9-Feb-21,"2,798.55",0.001
8-Feb-21,"2,795.89",0.0081
5-Feb-21,"2,773.45",0.0057
4-Feb-21,"2,757.66",0.0072
3-Feb-21,"2,737.93",0.0022
2-Feb-21,"2,731.95",0.0126
1-Feb-21,"2,697.88",0.0136
29-Jan-21,"2,661.69",-0.018
28-Jan-21,"2,710.60",0.006
27-Jan-21,"2,694.42",-0.0217
26-Jan-21,"2,754.12",-0.001
25-Jan-21,"2,756.87",0.0004
22-Jan-21,"2,755.66",-0.0036
21-Jan-21,"2,765.57",0.0015
20-Jan-21,"2,761.48",0.0106
19-Jan-21,"2,732.48",0.007
18-Jan-21,"2,713.49",-0.0005
15-Jan-21,"2,714.81",-0.0085
14-Jan-21,"2,738.09",-0.0006
13-Jan-21,"2,739.87",0.002
12-Jan-21,"2,734.40",0.0016
11-Jan-21,"2,730.05",-0.0084
8-Jan-21,"2,753.31",0.007
7-Jan-21,"2,734.19",0.0128
6-Jan-21,"2,699.51",0.0057
5-Jan-21,"2,684.18",0.0053
4-Jan-21,"2,670.04",-0.0074
1-Jan-21,"2,690.04",0
31-Dec-20,"2,690.04",0.0015
30-Dec-20,"2,686.06",0.0014
29-Dec-20,"2,682.18",0.002
28-Dec-20,"2,676.80",0.0066
25-Dec-20,"2,659.27",0.0001
24-Dec-20,"2,659.04",0.0029
23-Dec-20,"2,651.41",0.0032
22-Dec-20,"2,643.07",-0.0007
21-Dec-20,"2,644.97",-0.008
18-Dec-20,"2,666.30",-0.0032
17-Dec-20,"2,674.87",0.0076
16-Dec-20,"2,654.79",0.0042
15-Dec-20,"2,643.74",0.0093
14-Dec-20,"2,619.43",-0.0009
11-Dec-20,"2,621.89",-0.0025
10-Dec-20,"2,628.58",0.0004
9-Dec-20,"2,627.53",-0.0055
8-Dec-20,"2,642.05",0.0023
7-Dec-20,"2,635.88",-0.0014
4-Dec-20,"2,639.66",0.007
3-Dec-20,"2,621.28",0.0028
2-Dec-20,"2,613.91",0.0019
1-Dec-20,"2,609.01",0.01
30-Nov-20,"2,583.14",-0.007
27-Nov-20,"2,601.45",0.0044
26-Nov-20,"2,590.15",0.0002
25-Nov-20,"2,589.67",0.001
24-Nov-20,"2,587.19",0.0158
23-Nov-20,"2,546.90",0.0027
20-Nov-20,"2,540.02",-0.0025
19-Nov-20,"2,546.31",0.0012
18-Nov-20,"2,543.36",-0.0059
17-Nov-20,"2,558.43",-0.0012
16-Nov-20,"2,561.50",0.0127
13-Nov-20,"2,529.29",0.008
12-Nov-20,"2,509.24",-0.0075
11-Nov-20,"2,528.25",0.0084
10-Nov-20,"2,507.10",0.002
9-Nov-20,"2,502.06",0.013
6-Nov-20,"2,470.05",0.0014
5-Nov-20,"2,466.58",0.0207
4-Nov-20,"2,416.61",0.02
3-Nov-20,"2,369.27",0.0203
2-Nov-20,"2,322.14",0.0127
30-Oct-20,"2,292.93",-0.011
29-Oct-20,"2,318.44",0.0051
28-Oct-20,"2,306.65",-0.0315
27-Oct-20,"2,381.65",-0.0035
26-Oct-20,"2,390.08",-0.0166
23-Oct-20,"2,430.54",0.0039
22-Oct-20,"2,421.00",0.0013
21-Oct-20,"2,417.83",-0.002
20-Oct-20,"2,422.71",0.0021
19-Oct-20,"2,417.69",-0.0092
16-Oct-20,"2,440.14",0.0017
15-Oct-20,"2,435.93",-0.0072
14-Oct-20,"2,453.61",-0.0043
13-Oct-20,"2,464.18",-0.0055
12-Oct-20,"2,477.92",0.0123
9-Oct-20,"2,447.76",0.0084
8-Oct-20,"2,427.36",0.0075
7-Oct-20,"2,409.39",0.0113
6-Oct-20,"2,382.57",-0.0087
5-Oct-20,"2,403.50",0.0174
2-Oct-20,"2,362.41",-0.0074
1-Oct-20,"2,380.02",0.0054
30-Sep-20,"2,367.27",0.0032
29-Sep-20,"2,359.63",-0.0029
28-Sep-20,"2,366.41",0.017
25-Sep-20,"2,326.85",0.0115
24-Sep-20,"2,300.30",-0.0023
23-Sep-20,"2,305.57",-0.0161
22-Sep-20,"2,343.39",0.006
21-Sep-20,"2,329.49",-0.0163
18-Sep-20,"2,367.99",-0.0065
17-Sep-20,"2,383.54",-0.0083
16-Sep-20,"2,403.50",-0.0019
15-Sep-20,"2,407.97",0.0048
14-Sep-20,"2,396.37",0.0119
11-Sep-20,"2,368.14",0.0001
10-Sep-20,"2,367.80",-0.0108
9-Sep-20,"2,393.75",0.0167
8-Sep-20,"2,354.41",-0.0223
7-Sep-20,"2,408.05",0.0035
4-Sep-20,"2,399.60",-0.0108
3-Sep-20,"2,425.78",-0.0274
2-Sep-20,"2,494.10",0.0109
1-Sep-20,"2,467.25",0.0048
31-Aug-20,"2,455.51",-0.0005
28-Aug-20,"2,456.86",0.0058
27-Aug-20,"2,442.79",-0.0013
26-Aug-20,"2,446.05",0.0095
25-Aug-20,"2,422.95",0.0024
24-Aug-20,"2,417.05",0.0104
21-Aug-20,"2,392.11",0.0012
20-Aug-20,"2,389.15",-0.0022
19-Aug-20,"2,394.47",-0.002
18-Aug-20,"2,399.37",0.0023
17-Aug-20,"2,393.97",0.0041
14-Aug-20,"2,384.20",-0.0025
13-Aug-20,"2,390.08",-0.0007
12-Aug-20,"2,391.80",0.0137
11-Aug-20,"2,359.47",-0.0006
10-Aug-20,"2,360.87",0.0021
7-Aug-20,"2,355.97",-0.0017
6-Aug-20,"2,359.89",0.0017
5-Aug-20,"2,355.94",0.0082
4-Aug-20,"2,336.82",0.0055
3-Aug-20,"2,324.08",0.0083
31-Jul-20,"2,304.98",0.0004
30-Jul-20,"2,304.01",-0.0068
29-Jul-20,"2,319.71",0.0086
28-Jul-20,"2,299.91",-0.0051
27-Jul-20,"2,311.62",0.0087
24-Jul-20,"2,291.58",-0.0072
23-Jul-20,"2,308.12",-0.0084
22-Jul-20,"2,327.76",0.0027
21-Jul-20,"2,321.55",0.0037
20-Jul-20,"2,312.95",0.0083
17-Jul-20,"2,293.92",0.0022
16-Jul-20,"2,288.81",-0.0043
15-Jul-20,"2,298.78",0.0124
14-Jul-20,"2,270.69",0.0075
13-Jul-20,"2,253.76",-0.0026
10-Jul-20,"2,259.60",0.0084
9-Jul-20,"2,240.73",-0.0053
8-Jul-20,"2,252.64",0.0042
7-Jul-20,"2,243.17",-0.0093
