caldt,close,ret
3-Apr-21,"58,813.00",-0.0028
2-Apr-21,"58,977.30",0.0044
1-Apr-21,"58,718.30",-0.0008
31-Mar-21,"58,763.70",-0.0001
30-Mar-21,"58,771.30",0.02
29-Mar-21,"57,616.20",0.0332
28-Mar-21,"55,765.20",-0.0017
27-Mar-21,"55,862.90",0.015
26-Mar-21,"55,036.10",0.0724
25-Mar-21,"51,322.30",-0.0192
24-Mar-21,"52,325.40",-0.0391
23-Mar-21,"54,452.50",0.0054
22-Mar-21,"54,158.30",-0.0562
21-Mar-21,"57,383.80",-0.0122
20-Mar-21,"58,093.40",0.0001
19-Mar-21,"58,088.00",0.0075
18-Mar-21,"57,656.00",-0.0213
17-Mar-21,"58,913.50",0.0356
16-Mar-21,"56,889.70",0.0197
15-Mar-21,"55,791.30",-0.0562
14-Mar-21,"59,113.70",-0.034
13-Mar-21,"61,195.30",0.0686
12-Mar-21,"57,265.10",-0.0092
11-Mar-21,"57,799.50",0.0349
10-Mar-21,"55,851.90",0.0177
9-Mar-21,"54,879.00",0.0491
8-Mar-21,"52,311.00",0.0261
7-Mar-21,"50,982.30",0.0435
6-Mar-21,"48,855.60",0.0013
5-Mar-21,"48,792.50",0.0075
4-Mar-21,"48,428.00",-0.039
3-Mar-21,"50,395.10",0.0407
2-Mar-21,"48,424.20",-0.0236
1-Mar-21,"49,595.50",0.0981
28-Feb-21,"45,164.00",-0.0211
27-Feb-21,"46,136.70",-0.0045
26-Feb-21,"46,345.60",-0.0124
25-Feb-21,"46,928.50",-0.0557
24-Feb-21,"49,697.50",0.0161
23-Feb-21,"48,911.20",-0.0961
22-Feb-21,"54,111.80",-0.0578
21-Feb-21,"57,433.80",0.027
20-Feb-21,"55,923.70",0.0003
19-Feb-21,"55,906.60",0.0838
18-Feb-21,"51,582.20",-0.0095
17-Feb-21,"52,079.20",0.0592
16-Feb-21,"49,169.70",0.0257
15-Feb-21,"47,936.30",-0.0145
14-Feb-21,"48,643.40",0.0313
13-Feb-21,"47,168.70",-0.0043
12-Feb-21,"47,371.70",-0.0129
11-Feb-21,"47,990.70",0.0704
10-Feb-21,"44,836.00",-0.036
9-Feb-21,"46,508.60",0.0024
8-Feb-21,"46,395.70",0.1941
7-Feb-21,"38,852.90",-0.0103
6-Feb-21,"39,256.60",0.025
5-Feb-21,"38,297.60",0.0356
4-Feb-21,"36,982.10",-0.0177
3-Feb-21,"37,646.80",0.0609
2-Feb-21,"35,485.20",0.0588
1-Feb-21,"33,515.70",0.0123
31-Jan-21,"33,108.10",-0.0343
30-Jan-21,"34,283.10",-0.0005
29-Jan-21,"34,301.80",0.0278
28-Jan-21,"33,374.80",0.0977
27-Jan-21,"30,404.00",-0.0646
26-Jan-21,"32,502.10",0.0077
25-Jan-21,"32,252.30",0.0003
24-Jan-21,"32,241.30",0.0047
23-Jan-21,"32,088.90",-0.0276
22-Jan-21,"33,000.50",0.07
21-Jan-21,"30,842.10",-0.1306
20-Jan-21,"35,476.30",-0.0146
19-Jan-21,"36,002.90",-0.0167
18-Jan-21,"36,613.20",0.0216
17-Jan-21,"35,839.60",-0.005
16-Jan-21,"36,019.50",-0.0224
15-Jan-21,"36,845.80",-0.0595
14-Jan-21,"39,175.70",0.048
13-Jan-21,"37,382.20",0.097
12-Jan-21,"34,076.10",-0.0413
11-Jan-21,"35,544.30",-0.0693
10-Jan-21,"38,192.20",-0.0488
9-Jan-21,"40,151.90",-0.011
8-Jan-21,"40,599.30",0.0289
7-Jan-21,"39,460.20",0.0725
6-Jan-21,"36,793.20",0.0824
5-Jan-21,"33,991.50",0.0615
4-Jan-21,"32,022.60",-0.0284
3-Jan-21,"32,958.90",0.0238
2-Jan-21,"32,193.30",0.0965
1-Jan-21,"29,359.90",0.0142
31-Dec-20,"28,949.40",0.0028
30-Dec-20,"28,868.70",0.0545
29-Dec-20,"27,376.00",0.0118
28-Dec-20,"27,057.80",0.0303
27-Dec-20,"26,261.30",-0.0073
26-Dec-20,"26,454.40",0.0715
25-Dec-20,"24,689.60",0.0402
24-Dec-20,"23,736.50",0.0206
23-Dec-20,"23,257.90",-0.0237
22-Dec-20,"23,823.20",0.0482
21-Dec-20,"22,728.50",-0.0318
20-Dec-20,"23,474.90",-0.0155
19-Dec-20,"23,844.00",0.031
18-Dec-20,"23,127.90",0.0133
17-Dec-20,"22,825.40",0.069
16-Dec-20,"21,352.20",0.0987
15-Dec-20,"19,434.90",0.0084
14-Dec-20,"19,273.80",0.0051
13-Dec-20,"19,176.80",0.0196
12-Dec-20,"18,808.90",0.0436
11-Dec-20,"18,023.60",-0.0123
10-Dec-20,"18,247.20",-0.0161
9-Dec-20,"18,546.00",0.012
8-Dec-20,"18,326.60",-0.044
7-Dec-20,"19,170.70",-0.0108
6-Dec-20,"19,379.90",0.0122
5-Dec-20,"19,146.50",0.0262
4-Dec-20,"18,658.10",-0.0399
