caldt,close,ret
1-Apr-21,"4,019.87",0.0118
31-Mar-21,"3,972.89",0.0036
30-Mar-21,"3,958.55",-0.0032
29-Mar-21,"3,971.09",-0.0009
26-Mar-21,"3,974.54",0.0166
25-Mar-21,"3,909.52",0.0052
24-Mar-21,"3,889.14",-0.0055
23-Mar-21,"3,910.52",-0.0076
22-Mar-21,"3,940.59",0.007
19-Mar-21,"3,913.10",-0.0006
18-Mar-21,"3,915.46",-0.0148
17-Mar-21,"3,974.12",0.0029
16-Mar-21,"3,962.71",-0.0016
15-Mar-21,"3,968.94",0.0065
12-Mar-21,"3,943.34",0.001
11-Mar-21,"3,939.34",0.0104
10-Mar-21,"3,898.81",0.006
9-Mar-21,"3,875.44",0.0142
8-Mar-21,"3,821.35",-0.0054
5-Mar-21,"3,841.94",0.0195
4-Mar-21,"3,768.47",-0.0134
3-Mar-21,"3,819.72",-0.0131
2-Mar-21,"3,870.29",-0.0081
1-Mar-21,"3,901.82",0.0238
26-Feb-21,"3,811.15",-0.0048
25-Feb-21,"3,829.34",-0.0245
24-Feb-21,"3,925.43",0.0114
23-Feb-21,"3,881.37",0.0013
22-Feb-21,"3,876.50",-0.0077
19-Feb-21,"3,906.71",-0.0019
18-Feb-21,"3,913.97",-0.0044
17-Feb-21,"3,931.33",-0.0003
16-Feb-21,"3,932.59",-0.0006
12-Feb-21,"3,934.83",0.0047
11-Feb-21,"3,916.38",0.0017
10-Feb-21,"3,909.88",-0.0003
9-Feb-21,"3,911.23",-0.0011
8-Feb-21,"3,915.59",0.0074
5-Feb-21,"3,886.83",0.0039
4-Feb-21,"3,871.74",0.0109
3-Feb-21,"3,830.17",0.001
2-Feb-21,"3,826.31",0.0139
1-Feb-21,"3,773.86",0.0161
29-Jan-21,"3,714.24",-0.0193
28-Jan-21,"3,787.38",0.0098
27-Jan-21,"3,750.77",-0.0257
26-Jan-21,"3,849.62",-0.0015
25-Jan-21,"3,855.36",0.0036
22-Jan-21,"3,841.47",-0.003
21-Jan-21,"3,853.07",0.0003
20-Jan-21,"3,851.85",0.0139
19-Jan-21,"3,798.91",0.0081
15-Jan-21,"3,768.25",-0.0072
14-Jan-21,"3,795.54",-0.0038
13-Jan-21,"3,809.84",0.0023
12-Jan-21,"3,801.19",0.0004
11-Jan-21,"3,799.61",-0.0066
